Umur,Pendapatan Bulanan (ribu Rupiah),Jarak Tempuh Harian (km),Status Pekerjaan,Preferensi Harga,Preferensi Kecepatan,Preferensi Kapasitas,Ketersediaan Pajak,Ketersediaan Parkir,Ketersediaan Bahan Bakar,Ketersediaan Teknologi,Ketersediaan Perawatan,Ketersediaan Asuransi,Ketersediaan Warna,Ketersediaan Fitur Keselamatan,Ketersediaan Fitur Hiburan,Ketersediaan Aksesori,Ketersediaan Ruang Penumpang,Ketersediaan Ruang Bagasi,Jenis Kendaraan Dipilih
54,27815,14,Pegawai Negeri,Murah,Lambat,Sedang,Ya,Kurang,Gas,Rendah,Kurang,Ya,Terbatas,Kurang,Kurang,Cukup,Sempit,Sempit,Sepeda Motor
29,20919,73,Tidak Bekerja,Murah,Cepat,Besar,Tidak,Kurang,Solar,Sedang,Baik,Ya,Terbatas,Kurang,Cukup,Lengkap,Sempit,Sempit,Sepeda
49,16455,85,Pelajar/Mahasiswa,Sedang,Sedang,Besar,Tidak,Cukup,Solar,Rendah,Baik,Ya,Terbatas,Kurang,Lengkap,Lengkap,Luas,Cukup,Mobil
28,23699,64,Pensiunan,Mahal,Lambat,Kecil,Ya,Kurang,Gas,Sedang,Kurang,Tidak,Terbatas,Kurang,Lengkap,Lengkap,Sempit,Sempit,Sepeda
39,18873,97,Pelajar/Mahasiswa,Murah,Cepat,Sedang,Tidak,Kurang,Gas,Rendah,Kurang,Ya,Terbatas,Kurang,Kurang,Kurang,Sempit,Cukup,Sepeda
28,19035,63,Pensiunan,Mahal,Lambat,Besar,Tidak,Cukup,Listrik,Rendah,Cukup,Tidak,Terbatas,Cukup,Lengkap,Kurang,Sempit,Sempit,Mobil Listrik
22,25052,52,Pegawai Negeri,Sedang,Cepat,Sedang,Tidak,Baik,Bensin,Rendah,Baik,Ya,Beragam,Cukup,Cukup,Kurang,Luas,Luas,Sepeda Motor
26,17381,30,Wiraswasta,Mahal,Sedang,Besar,Tidak,Cukup,Listrik,Rendah,Cukup,Ya,Beragam,Kurang,Kurang,Kurang,Luas,Sempit,Mobil Listrik
51,15614,80,Tidak Bekerja,Murah,Cepat,Besar,Tidak,Cukup,Solar,Tinggi,Baik,Ya,Beragam,Lengkap,Kurang,Cukup,Luas,Cukup,Mobil
66,18518,11,Wiraswasta,Murah,Sedang,Besar,Tidak,Baik,Gas,Rendah,Baik,Ya,Terbatas,Cukup,Kurang,Kurang,Sempit,Cukup,Mobil Listrik
47,3421,85,Pensiunan,Murah,Cepat,Besar,Ya,Cukup,Listrik,Tinggi,Baik,Tidak,Terbatas,Kurang,Lengkap,Lengkap,Luas,Cukup,Sepeda
43,7708,87,Wiraswasta,Sedang,Sedang,Besar,Ya,Baik,Solar,Rendah,Baik,Ya,Terbatas,Cukup,Kurang,Kurang,Luas,Cukup,Sepeda Motor
59,26386,26,Pelajar/Mahasiswa,Sedang,Cepat,Besar,Tidak,Baik,Listrik,Tinggi,Cukup,Tidak,Beragam,Cukup,Lengkap,Lengkap,Luas,Sempit,Sepeda Motor
69,19001,11,Wiraswasta,Murah,Sedang,Sedang,Ya,Cukup,Solar,Tinggi,Baik,Tidak,Beragam,Kurang,Lengkap,Cukup,Luas,Cukup,Sepeda Motor
28,29937,81,Pelajar/Mahasiswa,Mahal,Sedang,Kecil,Ya,Baik,Listrik,Tinggi,Kurang,Tidak,Beragam,Cukup,Kurang,Cukup,Sempit,Cukup,Mobil Listrik
55,23361,94,Wiraswasta,Murah,Sedang,Kecil,Ya,Baik,Bensin,Tinggi,Cukup,Tidak,Terbatas,Kurang,Lengkap,Cukup,Cukup,Luas,Mobil Listrik
52,21488,76,Pensiunan,Mahal,Cepat,Kecil,Tidak,Cukup,Solar,Rendah,Kurang,Ya,Terbatas,Lengkap,Lengkap,Kurang,Cukup,Cukup,Mobil
20,24072,40,Tidak Bekerja,Murah,Lambat,Besar,Ya,Cukup,Listrik,Sedang,Kurang,Tidak,Terbatas,Cukup,Kurang,Lengkap,Sempit,Luas,Mobil
30,3700,13,Wiraswasta,Murah,Cepat,Kecil,Ya,Kurang,Bensin,Rendah,Kurang,Tidak,Terbatas,Lengkap,Cukup,Lengkap,Luas,Cukup,Mobil
30,20813,10,Pegawai Negeri,Sedang,Cepat,Kecil,Ya,Baik,Bensin,Sedang,Baik,Ya,Beragam,Kurang,Kurang,Lengkap,Sempit,Cukup,Mobil Listrik
61,18120,61,Tidak Bekerja,Sedang,Lambat,Sedang,Ya,Cukup,Bensin,Sedang,Kurang,Tidak,Terbatas,Kurang,Kurang,Cukup,Sempit,Luas,Sepeda Motor
19,8490,9,Wiraswasta,Murah,Lambat,Kecil,Ya,Cukup,Bensin,Sedang,Cukup,Ya,Terbatas,Kurang,Cukup,Kurang,Cukup,Cukup,Sepeda
59,14407,7,Wiraswasta,Mahal,Sedang,Kecil,Ya,Kurang,Gas,Rendah,Baik,Tidak,Terbatas,Cukup,Kurang,Cukup,Sempit,Luas,Mobil Listrik
29,25267,8,Pensiunan,Murah,Lambat,Kecil,Ya,Kurang,Solar,Tinggi,Kurang,Tidak,Terbatas,Kurang,Kurang,Lengkap,Sempit,Sempit,Sepeda
32,10224,54,Pensiunan,Sedang,Cepat,Kecil,Tidak,Baik,Gas,Sedang,Baik,Ya,Beragam,Kurang,Cukup,Cukup,Sempit,Cukup,Mobil Listrik
39,11912,12,Pegawai Negeri,Mahal,Sedang,Besar,Tidak,Baik,Bensin,Rendah,Baik,Ya,Terbatas,Cukup,Kurang,Kurang,Sempit,Luas,Sepeda
36,17902,53,Wiraswasta,Murah,Lambat,Kecil,Ya,Baik,Gas,Rendah,Kurang,Tidak,Beragam,Kurang,Cukup,Kurang,Luas,Cukup,Sepeda
49,14185,82,Wiraswasta,Murah,Sedang,Besar,Tidak,Kurang,Listrik,Rendah,Baik,Tidak,Beragam,Kurang,Cukup,Lengkap,Cukup,Sempit,Mobil Listrik
48,22152,81,Tidak Bekerja,Murah,Cepat,Kecil,Ya,Cukup,Bensin,Sedang,Baik,Ya,Beragam,Cukup,Cukup,Kurang,Cukup,Sempit,Sepeda
26,5807,51,Tidak Bekerja,Murah,Lambat,Besar,Tidak,Baik,Gas,Sedang,Cukup,Ya,Terbatas,Lengkap,Lengkap,Cukup,Cukup,Cukup,Mobil
23,7415,82,Tidak Bekerja,Mahal,Cepat,Kecil,Tidak,Kurang,Solar,Sedang,Cukup,Ya,Terbatas,Kurang,Kurang,Lengkap,Sempit,Cukup,Sepeda Motor
69,20545,71,Pegawai Negeri,Sedang,Sedang,Sedang,Tidak,Kurang,Gas,Sedang,Baik,Ya,Beragam,Lengkap,Kurang,Cukup,Luas,Cukup,Mobil
18,27097,99,Pelajar/Mahasiswa,Mahal,Sedang,Sedang,Tidak,Cukup,Listrik,Tinggi,Kurang,Ya,Beragam,Lengkap,Lengkap,Lengkap,Cukup,Sempit,Mobil Listrik
63,6591,18,Pegawai Negeri,Mahal,Cepat,Kecil,Tidak,Kurang,Gas,Tinggi,Kurang,Tidak,Beragam,Lengkap,Lengkap,Lengkap,Sempit,Sempit,Mobil Listrik
24,10007,16,Tidak Bekerja,Murah,Sedang,Kecil,Ya,Baik,Gas,Rendah,Baik,Ya,Beragam,Lengkap,Kurang,Kurang,Cukup,Sempit,Sepeda Motor
40,9800,5,Pensiunan,Mahal,Lambat,Besar,Tidak,Kurang,Gas,Tinggi,Kurang,Ya,Terbatas,Kurang,Kurang,Kurang,Luas,Sempit,Mobil
37,13379,45,Wiraswasta,Murah,Lambat,Besar,Tidak,Cukup,Solar,Tinggi,Baik,Tidak,Beragam,Cukup,Kurang,Lengkap,Sempit,Luas,Mobil Listrik
35,23673,32,Pegawai Negeri,Mahal,Lambat,Sedang,Tidak,Baik,Bensin,Sedang,Baik,Tidak,Beragam,Kurang,Kurang,Kurang,Cukup,Sempit,Mobil Listrik
32,3209,47,Pegawai Negeri,Murah,Sedang,Besar,Tidak,Cukup,Listrik,Sedang,Baik,Ya,Terbatas,Lengkap,Cukup,Kurang,Sempit,Sempit,Mobil
36,26391,20,Pelajar/Mahasiswa,Murah,Cepat,Kecil,Tidak,Baik,Listrik,Tinggi,Baik,Ya,Beragam,Kurang,Cukup,Kurang,Sempit,Cukup,Mobil
67,17857,26,Tidak Bekerja,Sedang,Lambat,Kecil,Tidak,Kurang,Solar,Sedang,Baik,Tidak,Terbatas,Kurang,Cukup,Kurang,Sempit,Sempit,Mobil
66,25807,17,Tidak Bekerja,Murah,Lambat,Sedang,Ya,Cukup,Gas,Sedang,Baik,Ya,Beragam,Cukup,Cukup,Lengkap,Sempit,Sempit,Sepeda Motor
24,29332,53,Tidak Bekerja,Sedang,Lambat,Sedang,Tidak,Cukup,Gas,Sedang,Baik,Tidak,Terbatas,Lengkap,Cukup,Cukup,Sempit,Sempit,Mobil
50,26770,81,Pelajar/Mahasiswa,Sedang,Lambat,Sedang,Ya,Cukup,Bensin,Tinggi,Baik,Tidak,Terbatas,Lengkap,Kurang,Cukup,Cukup,Cukup,Sepeda
59,6619,75,Pegawai Negeri,Mahal,Sedang,Kecil,Tidak,Baik,Listrik,Tinggi,Cukup,Tidak,Beragam,Cukup,Lengkap,Cukup,Cukup,Sempit,Mobil Listrik
60,6269,13,Tidak Bekerja,Sedang,Lambat,Besar,Ya,Kurang,Bensin,Tinggi,Kurang,Tidak,Beragam,Lengkap,Kurang,Cukup,Luas,Sempit,Mobil Listrik
31,2315,99,Tidak Bekerja,Murah,Lambat,Besar,Tidak,Kurang,Bensin,Sedang,Baik,Tidak,Terbatas,Lengkap,Lengkap,Cukup,Sempit,Luas,Sepeda
26,25975,77,Pegawai Negeri,Murah,Sedang,Besar,Ya,Cukup,Listrik,Tinggi,Baik,Ya,Terbatas,Lengkap,Kurang,Kurang,Luas,Sempit,Sepeda Motor
62,17832,61,Tidak Bekerja,Murah,Lambat,Kecil,Ya,Baik,Listrik,Tinggi,Baik,Tidak,Terbatas,Cukup,Cukup,Kurang,Sempit,Luas,Sepeda
67,14878,25,Pensiunan,Sedang,Sedang,Sedang,Ya,Cukup,Listrik,Tinggi,Kurang,Ya,Beragam,Cukup,Cukup,Lengkap,Cukup,Sempit,Mobil
52,13295,83,Wiraswasta,Murah,Lambat,Kecil,Ya,Baik,Listrik,Rendah,Kurang,Tidak,Terbatas,Kurang,Cukup,Cukup,Luas,Sempit,Sepeda
43,3952,35,Tidak Bekerja,Sedang,Sedang,Kecil,Ya,Cukup,Gas,Tinggi,Cukup,Tidak,Terbatas,Cukup,Lengkap,Cukup,Luas,Sempit,Sepeda Motor
27,12778,91,Pelajar/Mahasiswa,Mahal,Cepat,Besar,Ya,Cukup,Solar,Sedang,Cukup,Ya,Beragam,Lengkap,Cukup,Lengkap,Luas,Luas,Mobil Listrik
25,14140,29,Pelajar/Mahasiswa,Mahal,Lambat,Sedang,Ya,Baik,Bensin,Tinggi,Cukup,Ya,Beragam,Lengkap,Lengkap,Cukup,Luas,Luas,Sepeda
51,11935,99,Wiraswasta,Mahal,Sedang,Kecil,Ya,Cukup,Bensin,Tinggi,Kurang,Tidak,Beragam,Lengkap,Kurang,Kurang,Luas,Cukup,Mobil
53,9100,7,Pensiunan,Murah,Sedang,Sedang,Tidak,Cukup,Listrik,Tinggi,Kurang,Tidak,Terbatas,Lengkap,Lengkap,Lengkap,Sempit,Sempit,Sepeda Motor
44,15074,73,Tidak Bekerja,Sedang,Cepat,Kecil,Ya,Kurang,Gas,Tinggi,Baik,Ya,Terbatas,Cukup,Lengkap,Kurang,Sempit,Cukup,Mobil
30,26137,44,Tidak Bekerja,Murah,Lambat,Besar,Ya,Kurang,Listrik,Rendah,Cukup,Ya,Terbatas,Cukup,Lengkap,Cukup,Sempit,Luas,Sepeda Motor
21,21001,37,Pelajar/Mahasiswa,Sedang,Sedang,Besar,Ya,Kurang,Listrik,Rendah,Baik,Ya,Terbatas,Kurang,Cukup,Lengkap,Luas,Luas,Sepeda
22,7377,71,Pegawai Negeri,Murah,Cepat,Kecil,Ya,Kurang,Gas,Sedang,Cukup,Tidak,Terbatas,Kurang,Kurang,Cukup,Cukup,Luas,Mobil Listrik
41,22406,31,Tidak Bekerja,Mahal,Sedang,Kecil,Ya,Kurang,Bensin,Rendah,Cukup,Tidak,Terbatas,Cukup,Kurang,Lengkap,Luas,Sempit,Sepeda
64,8082,63,Pensiunan,Murah,Lambat,Kecil,Tidak,Baik,Bensin,Sedang,Baik,Tidak,Terbatas,Cukup,Lengkap,Lengkap,Sempit,Luas,Sepeda
48,8420,27,Wiraswasta,Murah,Cepat,Besar,Ya,Baik,Solar,Sedang,Cukup,Tidak,Terbatas,Cukup,Kurang,Lengkap,Luas,Luas,Mobil Listrik
62,9185,53,Wiraswasta,Sedang,Lambat,Besar,Tidak,Kurang,Gas,Tinggi,Kurang,Ya,Beragam,Kurang,Cukup,Cukup,Luas,Cukup,Mobil
18,4385,46,Pensiunan,Murah,Cepat,Kecil,Tidak,Baik,Listrik,Sedang,Cukup,Ya,Beragam,Lengkap,Lengkap,Kurang,Cukup,Sempit,Mobil Listrik
59,22988,37,Wiraswasta,Mahal,Cepat,Sedang,Ya,Baik,Solar,Tinggi,Cukup,Ya,Beragam,Kurang,Lengkap,Kurang,Cukup,Cukup,Sepeda
18,15372,13,Wiraswasta,Mahal,Cepat,Kecil,Tidak,Baik,Gas,Sedang,Kurang,Tidak,Beragam,Kurang,Cukup,Lengkap,Cukup,Luas,Sepeda
30,6122,57,Pensiunan,Mahal,Cepat,Besar,Ya,Cukup,Gas,Rendah,Kurang,Ya,Terbatas,Lengkap,Kurang,Cukup,Cukup,Sempit,Mobil
43,11300,60,Wiraswasta,Mahal,Lambat,Sedang,Tidak,Cukup,Solar,Tinggi,Cukup,Ya,Terbatas,Cukup,Kurang,Lengkap,Cukup,Sempit,Sepeda
24,26563,29,Pensiunan,Sedang,Cepat,Sedang,Tidak,Kurang,Gas,Rendah,Kurang,Ya,Beragam,Cukup,Cukup,Kurang,Sempit,Sempit,Mobil
26,7982,44,Pensiunan,Murah,Cepat,Kecil,Tidak,Kurang,Bensin,Rendah,Cukup,Tidak,Beragam,Cukup,Cukup,Lengkap,Sempit,Sempit,Mobil Listrik
64,5556,13,Pegawai Negeri,Mahal,Lambat,Sedang,Ya,Kurang,Bensin,Rendah,Baik,Tidak,Terbatas,Cukup,Kurang,Lengkap,Sempit,Luas,Sepeda Motor
53,17865,30,Pensiunan,Murah,Cepat,Kecil,Tidak,Baik,Gas,Sedang,Kurang,Ya,Terbatas,Kurang,Cukup,Cukup,Sempit,Luas,Sepeda
37,21097,6,Pelajar/Mahasiswa,Mahal,Cepat,Sedang,Tidak,Cukup,Listrik,Sedang,Cukup,Tidak,Terbatas,Cukup,Kurang,Lengkap,Cukup,Cukup,Mobil Listrik
44,4808,29,Pegawai Negeri,Mahal,Cepat,Kecil,Tidak,Baik,Gas,Sedang,Cukup,Ya,Terbatas,Lengkap,Lengkap,Lengkap,Sempit,Sempit,Sepeda
47,11841,55,Wiraswasta,Mahal,Lambat,Kecil,Tidak,Baik,Gas,Rendah,Kurang,Ya,Terbatas,Lengkap,Lengkap,Lengkap,Luas,Cukup,Sepeda
50,9143,47,Pegawai Negeri,Murah,Lambat,Kecil,Ya,Cukup,Bensin,Rendah,Baik,Tidak,Terbatas,Kurang,Lengkap,Lengkap,Cukup,Sempit,Sepeda
64,3588,12,Pelajar/Mahasiswa,Mahal,Sedang,Besar,Tidak,Kurang,Bensin,Rendah,Kurang,Ya,Beragam,Lengkap,Kurang,Lengkap,Luas,Luas,Sepeda Motor
40,9916,76,Wiraswasta,Murah,Cepat,Sedang,Tidak,Kurang,Listrik,Rendah,Kurang,Tidak,Beragam,Lengkap,Kurang,Kurang,Cukup,Luas,Sepeda Motor
29,21026,63,Wiraswasta,Mahal,Sedang,Sedang,Tidak,Cukup,Gas,Sedang,Baik,Tidak,Beragam,Lengkap,Kurang,Cukup,Luas,Cukup,Mobil Listrik
58,19160,21,Pelajar/Mahasiswa,Sedang,Lambat,Besar,Tidak,Kurang,Solar,Sedang,Kurang,Tidak,Terbatas,Lengkap,Kurang,Cukup,Luas,Sempit,Mobil Listrik
56,27396,79,Pensiunan,Mahal,Lambat,Besar,Ya,Kurang,Bensin,Tinggi,Baik,Ya,Beragam,Kurang,Cukup,Cukup,Cukup,Cukup,Mobil Listrik
62,18738,19,Pegawai Negeri,Mahal,Sedang,Kecil,Ya,Cukup,Solar,Tinggi,Kurang,Ya,Beragam,Kurang,Kurang,Cukup,Cukup,Luas,Mobil Listrik
34,14074,40,Pegawai Negeri,Sedang,Lambat,Besar,Tidak,Cukup,Solar,Rendah,Baik,Tidak,Beragam,Cukup,Lengkap,Cukup,Cukup,Sempit,Sepeda
32,12933,95,Wiraswasta,Mahal,Lambat,Besar,Ya,Kurang,Bensin,Sedang,Baik,Ya,Terbatas,Lengkap,Kurang,Cukup,Luas,Luas,Sepeda Motor
46,24676,85,Tidak Bekerja,Mahal,Lambat,Sedang,Tidak,Cukup,Gas,Sedang,Kurang,Tidak,Terbatas,Lengkap,Lengkap,Lengkap,Luas,Cukup,Sepeda Motor
25,3003,97,Wiraswasta,Mahal,Cepat,Kecil,Tidak,Kurang,Solar,Rendah,Kurang,Ya,Beragam,Cukup,Cukup,Lengkap,Luas,Luas,Sepeda
58,28405,93,Pelajar/Mahasiswa,Sedang,Sedang,Sedang,Ya,Baik,Solar,Sedang,Cukup,Ya,Beragam,Cukup,Kurang,Lengkap,Luas,Cukup,Sepeda Motor
27,15775,88,Wiraswasta,Mahal,Lambat,Kecil,Tidak,Baik,Solar,Tinggi,Baik,Tidak,Beragam,Cukup,Lengkap,Cukup,Sempit,Sempit,Sepeda
35,21305,75,Wiraswasta,Murah,Sedang,Sedang,Tidak,Kurang,Bensin,Sedang,Cukup,Tidak,Beragam,Cukup,Cukup,Cukup,Sempit,Sempit,Mobil Listrik
48,9080,43,Pegawai Negeri,Sedang,Cepat,Besar,Tidak,Cukup,Listrik,Sedang,Baik,Ya,Terbatas,Kurang,Cukup,Lengkap,Sempit,Cukup,Mobil
65,23647,45,Pegawai Negeri,Sedang,Cepat,Sedang,Tidak,Cukup,Solar,Sedang,Baik,Tidak,Beragam,Kurang,Kurang,Lengkap,Luas,Sempit,Sepeda
40,21691,51,Pensiunan,Murah,Cepat,Kecil,Ya,Baik,Bensin,Sedang,Kurang,Tidak,Terbatas,Lengkap,Cukup,Kurang,Sempit,Sempit,Sepeda
34,11011,12,Pegawai Negeri,Sedang,Sedang,Besar,Tidak,Baik,Listrik,Rendah,Cukup,Tidak,Beragam,Kurang,Kurang,Lengkap,Cukup,Cukup,Sepeda
50,4867,87,Wiraswasta,Sedang,Cepat,Kecil,Ya,Baik,Listrik,Tinggi,Kurang,Ya,Terbatas,Lengkap,Lengkap,Lengkap,Luas,Sempit,Mobil Listrik
24,12235,71,Pegawai Negeri,Murah,Lambat,Besar,Ya,Cukup,Listrik,Rendah,Kurang,Ya,Terbatas,Kurang,Lengkap,Lengkap,Sempit,Sempit,Mobil
24,4075,87,Pegawai Negeri,Mahal,Lambat,Kecil,Ya,Kurang,Bensin,Tinggi,Cukup,Ya,Beragam,Kurang,Kurang,Lengkap,Luas,Cukup,Mobil Listrik
37,28341,46,Wiraswasta,Murah,Cepat,Kecil,Ya,Kurang,Bensin,Sedang,Cukup,Tidak,Beragam,Cukup,Kurang,Kurang,Luas,Luas,Mobil
43,25928,74,Pegawai Negeri,Sedang,Lambat,Besar,Ya,Cukup,Gas,Sedang,Kurang,Tidak,Beragam,Lengkap,Cukup,Cukup,Luas,Sempit,Sepeda
59,16857,34,Wiraswasta,Sedang,Cepat,Sedang,Ya,Cukup,Gas,Rendah,Cukup,Tidak,Beragam,Kurang,Kurang,Kurang,Luas,Luas,Mobil
57,7191,49,Pensiunan,Murah,Cepat,Besar,Ya,Kurang,Listrik,Tinggi,Baik,Ya,Beragam,Cukup,Lengkap,Kurang,Cukup,Cukup,Sepeda
69,11491,19,Pensiunan,Sedang,Cepat,Sedang,Ya,Cukup,Bensin,Tinggi,Cukup,Ya,Terbatas,Kurang,Lengkap,Lengkap,Luas,Cukup,Mobil Listrik
28,20189,11,Wiraswasta,Sedang,Cepat,Sedang,Ya,Kurang,Gas,Rendah,Cukup,Tidak,Terbatas,Lengkap,Cukup,Cukup,Luas,Luas,Mobil Listrik
34,17542,49,Wiraswasta,Mahal,Cepat,Kecil,Tidak,Kurang,Listrik,Tinggi,Baik,Ya,Beragam,Kurang,Lengkap,Cukup,Cukup,Cukup,Mobil Listrik
22,25415,18,Pensiunan,Mahal,Cepat,Besar,Ya,Kurang,Solar,Rendah,Baik,Tidak,Terbatas,Kurang,Kurang,Kurang,Cukup,Sempit,Sepeda
61,2297,69,Pelajar/Mahasiswa,Mahal,Cepat,Besar,Ya,Cukup,Bensin,Tinggi,Cukup,Ya,Beragam,Cukup,Kurang,Kurang,Sempit,Cukup,Mobil
30,21688,83,Wiraswasta,Murah,Cepat,Kecil,Ya,Baik,Gas,Rendah,Kurang,Ya,Terbatas,Kurang,Cukup,Cukup,Luas,Luas,Mobil
39,10458,72,Pensiunan,Mahal,Lambat,Kecil,Tidak,Baik,Bensin,Tinggi,Cukup,Tidak,Beragam,Kurang,Cukup,Cukup,Cukup,Sempit,Sepeda
18,6349,74,Pelajar/Mahasiswa,Sedang,Lambat,Sedang,Ya,Cukup,Bensin,Sedang,Kurang,Tidak,Beragam,Kurang,Lengkap,Cukup,Cukup,Sempit,Sepeda
18,11439,67,Tidak Bekerja,Sedang,Cepat,Besar,Ya,Kurang,Gas,Tinggi,Cukup,Tidak,Terbatas,Kurang,Cukup,Kurang,Cukup,Sempit,Mobil
