Nilai Ujian,Kehadiran (%),Aktivitas Ekstrakurikuler,Preferensi Lokasi,Transportasi,Rata-rata Nilai Raport,Prestasi Akademik,Keterlibatan Orang Tua,Jarak Rumah (km),Ketersediaan Fasilitas Olahraga,Ketersediaan Fasilitas Laboratorium,Ketersediaan Fasilitas Perpustakaan,Ketersediaan Fasilitas Seni,Ketersediaan Fasilitas Komputer,Ketersediaan Fasilitas Wi-Fi,Ketersediaan Fasilitas Kesehatan,Ketersediaan Fasilitas Kafetaria,Lingkungan Sekitar,Ketersediaan Beasiswa,Sekolah Dipilih
73,77,Tinggi,Tidak Peduli,Bus,92,Sedang,Rendah,14,Baik,Sedang,Kurang,Baik,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Ya,A
88,79,Rendah,Tidak Peduli,Mobil,66,Rendah,Rendah,14,Sedang,Kurang,Sedang,Kurang,Baik,Tidak Ada,Ada,Tidak Ada,Tenang,Ya,B
64,79,Tinggi,Jauh dari Rumah,Bus,72,Sedang,Tinggi,12,Sedang,Kurang,Baik,Kurang,Kurang,Tidak Ada,Tidak Ada,Ada,Tidak Nyaman,Tidak,C
55,86,Sedang,Tidak Peduli,Mobil,92,Sedang,Rendah,17,Kurang,Sedang,Kurang,Baik,Kurang,Ada,Tidak Ada,Tidak Ada,Ramai,Ya,B
67,83,Rendah,Tidak Peduli,Mobil,85,Tinggi,Sedang,16,Baik,Baik,Sedang,Baik,Sedang,Tidak Ada,Tidak Ada,Ada,Nyaman,Ya,B
90,91,Rendah,Dekat Rumah,Bus,60,Rendah,Tinggi,2,Kurang,Sedang,Sedang,Kurang,Baik,Ada,Tidak Ada,Ada,Tidak Nyaman,Ya,A
91,76,Tinggi,Tidak Peduli,Sepeda,73,Rendah,Tinggi,1,Sedang,Sedang,Kurang,Kurang,Kurang,Ada,Ada,Tidak Ada,Nyaman,Ya,B
70,99,Sedang,Jauh dari Rumah,Sepeda,62,Sedang,Sedang,11,Kurang,Baik,Baik,Sedang,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Tenang,Ya,C
86,85,Sedang,Dekat Rumah,Bus,90,Sedang,Rendah,5,Kurang,Sedang,Baik,Baik,Kurang,Tidak Ada,Ada,Tidak Ada,Ramai,Tidak,C
62,82,Rendah,Tidak Peduli,Sepeda,68,Tinggi,Tinggi,10,Sedang,Kurang,Kurang,Kurang,Baik,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,A
72,86,Tinggi,Dekat Rumah,Bus,67,Rendah,Sedang,7,Sedang,Sedang,Kurang,Baik,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,B
98,88,Sedang,Tidak Peduli,Sepeda,67,Tinggi,Sedang,7,Baik,Baik,Baik,Baik,Kurang,Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,B
92,92,Tinggi,Dekat Rumah,Mobil,89,Sedang,Sedang,12,Baik,Baik,Sedang,Sedang,Kurang,Tidak Ada,Tidak Ada,Ada,Tidak Nyaman,Ya,B
91,84,Rendah,Tidak Peduli,Sepeda,77,Tinggi,Tinggi,16,Kurang,Baik,Sedang,Baik,Sedang,Tidak Ada,Ada,Tidak Ada,Nyaman,Ya,A
73,99,Tinggi,Jauh dari Rumah,Sepeda,73,Rendah,Rendah,10,Baik,Kurang,Baik,Kurang,Baik,Ada,Ada,Ada,Tidak Nyaman,Tidak,A
54,76,Tinggi,Dekat Rumah,Mobil,80,Sedang,Rendah,2,Sedang,Baik,Kurang,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,B
93,93,Sedang,Tidak Peduli,Mobil,93,Sedang,Sedang,11,Baik,Kurang,Kurang,Kurang,Baik,Ada,Tidak Ada,Ada,Tidak Nyaman,Tidak,A
50,74,Rendah,Dekat Rumah,Sepeda,66,Tinggi,Sedang,17,Kurang,Baik,Kurang,Sedang,Baik,Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Tidak,B
77,93,Rendah,Dekat Rumah,Bus,62,Rendah,Sedang,18,Baik,Baik,Kurang,Sedang,Sedang,Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,A
91,74,Tinggi,Tidak Peduli,Bus,85,Sedang,Sedang,2,Kurang,Kurang,Kurang,Sedang,Sedang,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,C
71,77,Tinggi,Jauh dari Rumah,Sepeda,63,Sedang,Tinggi,9,Kurang,Kurang,Sedang,Baik,Baik,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,B
54,75,Sedang,Tidak Peduli,Mobil,88,Sedang,Tinggi,5,Baik,Baik,Sedang,Kurang,Kurang,Ada,Ada,Ada,Nyaman,Ya,C
78,86,Sedang,Jauh dari Rumah,Mobil,62,Rendah,Rendah,7,Sedang,Kurang,Sedang,Baik,Baik,Tidak Ada,Ada,Ada,Ramai,Ya,C
60,95,Rendah,Jauh dari Rumah,Bus,93,Sedang,Rendah,8,Sedang,Kurang,Baik,Baik,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Ya,B
89,70,Rendah,Jauh dari Rumah,Sepeda,65,Sedang,Sedang,2,Sedang,Sedang,Baik,Baik,Kurang,Tidak Ada,Ada,Ada,Tidak Nyaman,Tidak,C
89,97,Tinggi,Jauh dari Rumah,Sepeda,88,Tinggi,Sedang,1,Baik,Baik,Sedang,Kurang,Kurang,Tidak Ada,Tidak Ada,Ada,Tidak Nyaman,Ya,A
76,83,Sedang,Dekat Rumah,Mobil,87,Sedang,Sedang,7,Baik,Kurang,Sedang,Baik,Sedang,Tidak Ada,Ada,Ada,Tidak Nyaman,Ya,A
98,87,Tinggi,Dekat Rumah,Bus,84,Rendah,Tinggi,12,Sedang,Baik,Sedang,Sedang,Baik,Ada,Tidak Ada,Ada,Nyaman,Ya,C
68,96,Sedang,Dekat Rumah,Sepeda,67,Tinggi,Rendah,11,Sedang,Sedang,Sedang,Kurang,Kurang,Tidak Ada,Ada,Tidak Ada,Ramai,Ya,B
77,93,Rendah,Tidak Peduli,Mobil,87,Tinggi,Tinggi,7,Baik,Kurang,Kurang,Kurang,Baik,Ada,Ada,Ada,Tenang,Tidak,B
55,97,Rendah,Jauh dari Rumah,Bus,72,Rendah,Tinggi,7,Sedang,Kurang,Sedang,Baik,Baik,Ada,Ada,Tidak Ada,Ramai,Tidak,B
94,96,Tinggi,Dekat Rumah,Sepeda,76,Tinggi,Rendah,7,Sedang,Kurang,Sedang,Kurang,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Nyaman,Tidak,C
57,73,Sedang,Jauh dari Rumah,Mobil,65,Rendah,Tinggi,6,Baik,Baik,Baik,Sedang,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Ya,B
86,97,Rendah,Dekat Rumah,Sepeda,70,Sedang,Sedang,17,Baik,Kurang,Sedang,Kurang,Sedang,Ada,Tidak Ada,Tidak Ada,Ramai,Ya,C
51,85,Tinggi,Jauh dari Rumah,Mobil,60,Rendah,Sedang,11,Sedang,Kurang,Baik,Baik,Baik,Tidak Ada,Ada,Tidak Ada,Nyaman,Ya,C
98,73,Tinggi,Jauh dari Rumah,Mobil,90,Sedang,Rendah,12,Kurang,Kurang,Sedang,Baik,Baik,Ada,Ada,Ada,Ramai,Ya,A
51,92,Tinggi,Dekat Rumah,Bus,92,Sedang,Rendah,13,Kurang,Kurang,Sedang,Baik,Baik,Ada,Ada,Tidak Ada,Ramai,Ya,C
96,88,Sedang,Jauh dari Rumah,Mobil,62,Rendah,Sedang,12,Kurang,Sedang,Sedang,Kurang,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,A
78,91,Rendah,Jauh dari Rumah,Mobil,90,Rendah,Rendah,9,Sedang,Kurang,Sedang,Baik,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Ya,A
64,77,Rendah,Tidak Peduli,Mobil,92,Rendah,Tinggi,7,Baik,Sedang,Kurang,Kurang,Sedang,Tidak Ada,Ada,Ada,Tidak Nyaman,Ya,B
75,98,Sedang,Jauh dari Rumah,Mobil,65,Tinggi,Sedang,12,Sedang,Kurang,Sedang,Sedang,Sedang,Ada,Ada,Ada,Tenang,Tidak,A
55,78,Tinggi,Dekat Rumah,Mobil,61,Rendah,Rendah,10,Sedang,Sedang,Kurang,Sedang,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,B
86,97,Rendah,Jauh dari Rumah,Mobil,62,Tinggi,Tinggi,3,Kurang,Sedang,Kurang,Sedang,Baik,Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,C
99,89,Rendah,Jauh dari Rumah,Bus,78,Sedang,Rendah,10,Kurang,Sedang,Kurang,Sedang,Baik,Ada,Ada,Tidak Ada,Tidak Nyaman,Ya,A
51,83,Rendah,Dekat Rumah,Sepeda,84,Rendah,Rendah,4,Kurang,Sedang,Kurang,Kurang,Sedang,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,A
84,72,Sedang,Jauh dari Rumah,Bus,74,Tinggi,Sedang,13,Kurang,Sedang,Kurang,Baik,Baik,Tidak Ada,Ada,Tidak Ada,Nyaman,Tidak,B
65,73,Rendah,Dekat Rumah,Bus,88,Tinggi,Tinggi,19,Sedang,Baik,Baik,Kurang,Sedang,Tidak Ada,Tidak Ada,Ada,Tenang,Ya,C
87,80,Rendah,Dekat Rumah,Sepeda,93,Rendah,Sedang,17,Sedang,Kurang,Kurang,Baik,Baik,Ada,Ada,Ada,Ramai,Ya,B
81,70,Rendah,Dekat Rumah,Sepeda,88,Sedang,Rendah,17,Sedang,Baik,Sedang,Kurang,Baik,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,C
67,72,Sedang,Dekat Rumah,Sepeda,82,Rendah,Tinggi,1,Baik,Baik,Kurang,Baik,Baik,Ada,Ada,Ada,Nyaman,Tidak,C
68,70,Rendah,Dekat Rumah,Bus,66,Sedang,Tinggi,15,Baik,Kurang,Baik,Kurang,Sedang,Ada,Ada,Tidak Ada,Nyaman,Tidak,C
51,88,Tinggi,Jauh dari Rumah,Sepeda,87,Tinggi,Tinggi,3,Sedang,Sedang,Baik,Baik,Sedang,Ada,Ada,Tidak Ada,Tenang,Ya,A
54,86,Tinggi,Jauh dari Rumah,Mobil,94,Sedang,Rendah,1,Sedang,Baik,Sedang,Kurang,Sedang,Ada,Tidak Ada,Ada,Tidak Nyaman,Ya,A
55,86,Tinggi,Dekat Rumah,Mobil,85,Tinggi,Sedang,3,Sedang,Sedang,Sedang,Baik,Sedang,Tidak Ada,Ada,Tidak Ada,Ramai,Tidak,C
66,80,Sedang,Jauh dari Rumah,Bus,60,Rendah,Sedang,4,Sedang,Sedang,Sedang,Sedang,Baik,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,C
81,81,Rendah,Tidak Peduli,Sepeda,77,Sedang,Rendah,15,Kurang,Baik,Baik,Sedang,Baik,Ada,Ada,Ada,Nyaman,Tidak,C
68,73,Rendah,Dekat Rumah,Sepeda,80,Rendah,Sedang,1,Kurang,Kurang,Baik,Sedang,Sedang,Tidak Ada,Ada,Tidak Ada,Tenang,Tidak,B
67,91,Tinggi,Jauh dari Rumah,Sepeda,79,Rendah,Tinggi,1,Baik,Kurang,Sedang,Kurang,Sedang,Tidak Ada,Ada,Ada,Tenang,Ya,C
68,71,Tinggi,Tidak Peduli,Sepeda,87,Tinggi,Tinggi,5,Baik,Sedang,Sedang,Kurang,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,A
52,72,Sedang,Tidak Peduli,Sepeda,79,Tinggi,Sedang,6,Baik,Baik,Sedang,Kurang,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,A
65,70,Tinggi,Tidak Peduli,Bus,65,Rendah,Rendah,6,Sedang,Baik,Kurang,Kurang,Kurang,Ada,Ada,Tidak Ada,Nyaman,Tidak,C
63,86,Tinggi,Jauh dari Rumah,Bus,86,Sedang,Rendah,17,Kurang,Kurang,Kurang,Sedang,Baik,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Ya,A
56,78,Sedang,Tidak Peduli,Mobil,80,Sedang,Rendah,1,Baik,Baik,Sedang,Baik,Sedang,Ada,Ada,Tidak Ada,Tenang,Ya,A
68,74,Tinggi,Dekat Rumah,Mobil,85,Tinggi,Tinggi,5,Kurang,Baik,Baik,Baik,Kurang,Tidak Ada,Ada,Tidak Ada,Nyaman,Tidak,C
75,82,Sedang,Tidak Peduli,Mobil,88,Sedang,Rendah,7,Kurang,Baik,Baik,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,C
77,75,Sedang,Tidak Peduli,Bus,66,Rendah,Tinggi,14,Kurang,Baik,Kurang,Baik,Kurang,Ada,Ada,Ada,Nyaman,Ya,C
51,89,Sedang,Tidak Peduli,Sepeda,86,Sedang,Sedang,4,Sedang,Sedang,Kurang,Kurang,Kurang,Tidak Ada,Tidak Ada,Ada,Ramai,Tidak,A
91,82,Sedang,Jauh dari Rumah,Bus,82,Sedang,Rendah,18,Baik,Kurang,Baik,Kurang,Sedang,Ada,Tidak Ada,Ada,Ramai,Tidak,B
88,70,Rendah,Jauh dari Rumah,Mobil,83,Sedang,Tinggi,10,Kurang,Sedang,Kurang,Baik,Baik,Ada,Ada,Tidak Ada,Ramai,Tidak,B
63,85,Rendah,Dekat Rumah,Bus,69,Rendah,Sedang,16,Sedang,Baik,Baik,Sedang,Baik,Tidak Ada,Tidak Ada,Ada,Ramai,Ya,C
91,72,Tinggi,Tidak Peduli,Sepeda,85,Rendah,Sedang,2,Kurang,Sedang,Baik,Kurang,Sedang,Tidak Ada,Ada,Tidak Ada,Nyaman,Tidak,C
80,83,Tinggi,Jauh dari Rumah,Bus,63,Tinggi,Rendah,18,Sedang,Sedang,Sedang,Kurang,Baik,Ada,Ada,Ada,Ramai,Tidak,A
69,85,Sedang,Dekat Rumah,Sepeda,81,Tinggi,Tinggi,7,Baik,Baik,Sedang,Kurang,Sedang,Tidak Ada,Ada,Tidak Ada,Nyaman,Ya,C
86,92,Sedang,Jauh dari Rumah,Sepeda,70,Rendah,Tinggi,16,Kurang,Kurang,Kurang,Kurang,Baik,Ada,Ada,Tidak Ada,Tenang,Ya,B
50,95,Sedang,Dekat Rumah,Mobil,69,Rendah,Tinggi,16,Sedang,Sedang,Kurang,Kurang,Baik,Tidak Ada,Tidak Ada,Ada,Ramai,Ya,C
73,96,Rendah,Jauh dari Rumah,Bus,89,Rendah,Rendah,16,Kurang,Baik,Kurang,Sedang,Kurang,Tidak Ada,Ada,Ada,Tidak Nyaman,Tidak,B
50,93,Sedang,Dekat Rumah,Sepeda,80,Tinggi,Rendah,19,Kurang,Sedang,Baik,Kurang,Sedang,Tidak Ada,Ada,Tidak Ada,Ramai,Ya,B
